name,IBAN,amount,reference,description,day,month,year
Bridget Moore,GB03OHBY03399094640971,16.53,7880255724561,,14,6,2022
Sarah Small,GB17VCFG56543735454710,330.42,163975247846,Subscription 0163975247846,26,2,2021
Amy Hunter,GB06OCJB15886762881013,510.94,2289101976294,Subscription 2289101976294,20,7,2021
Kristen Walker,GB27QXMO24299907742503,361.07,5900585934088,,9,7,2020
Shawn Lee,GB18AJSJ20561925492987,531.64,5766921702427,,9,8,2021
Sharon Valencia,GB34PMCH96540948101504,548.77,9988802455420,,1,3,2024
Julie Vaughn,GB07SZCE52733197864461,408.13,93289088845,Monthly subscription 0093289088845,10,9,2021
David Marshall,GB73EHJD67925009636140,550.85,2659154109879,Subscription 2659154109879,2,7,2020
Joshua Hanson,GB70MSDH43961882253460,19.72,192557050871,And detail lot cover.,4,8,2024
Julie Caldwell,GB33ETQK98199191419631,864.5,720554058189,From enter affect stage.,15,12,2023
Mark Hart,GB12GJHL00977174891082,782.79,3624143910469,Subscription 3624143910469,15,2,2022
Michael Ross,GB04QQYW99301273239438,270.41,8657333966293,,5,3,2024
Kaitlyn Wheeler,GB94GWDB54413388178924,521.24,433215269281,International hand statement any chair pull.,7,11,2020
Thomas Mcdonald,GB73RABW82310753047555,753.2,8708112980945,,20,10,2024
Nancy Holmes,GB31DBOZ92116609100555,995.63,6121164233128,,2,3,2021
Anthony Lewis,GB66QIRY56958198075214,575.64,7890594968243,,27,9,2020
Matthew Gilmore,GB51PXOZ06604554671076,20.86,3314993779117,,18,3,2022
Karen Guerrero,GB42QPLF51762673071267,56.43,7330066535431,,3,7,2022
Vanessa Santos,GB97HFTK61157640610489,997.08,7986084188397,,20,6,2024
Jacob Melendez,GB55TPVJ01363085727186,928.41,5816992304928,,22,4,2022
Samuel Phillips,GB51LALL94840208830923,883.69,2257528805398,,12,8,2023
Jacob Edwards,GB47SWIW63096836202863,974.73,9663375618389,Build find this suggest maybe standard laugh of.,27,2,2020
Craig Simpson,GB05MCGI48257549592199,623.74,8418309512933,,25,3,2020
Morgan Thompson,GB59GXWI42070859658969,966.36,7772682849590,,22,7,2021
Tanya Cooper,GB85BSDJ79665001364508,486.4,1469754840611,,24,7,2023
Danielle Torres,GB71JDTR10319290291772,479.89,3506392339812,,4,6,2022
Stephen Flores,GB87KYFS60015919504989,718.35,8001833245332,,25,7,2022
Christian Perez,GB41PDVF42872217515485,892.59,6948972782545,Payment 6948972782545 for services,2,3,2020
Kendra Davis,GB70MMFV04207968131631,767.3173700131728,5833698830711,,12,9,2024
Christine Crawford,GB34FJWZ13106272931604,409.03,5967077450907,,1,5,2023
Gordon Jones,GB05MBGU03256651690801,878.05,4473227889998,Subscription 4473227889998,23,6,2023
Erika Jones,GB15LGLV08278514161415,768.74,3118970932478,,13,6,2021
Kimberly Johnson,GB63JSIJ79945579573818,81.04,7746054807280,,26,5,2024
Rachel Kemp,GB39RXEG15479128440434,784.01,1890397127645,,6,6,2024
Larry Colon,GB06MFYR78174741351719,93.64,2532064678492,,1,7,2021
Juan Walker,GB20PNDJ86887695317804,555.65,2284197300695,,17,6,2020
Daniel Marshall,GB25LRWB20303066526397,626.57,7956879871872,,2,12,2024
Michelle Johnson,GB73ULZU23629505725491,605.77,0182051305102,,7,12,2020
Donald Davis,GB19LWLX69476701807977,255.24,8003800729968,,8,10,2020
Aaron Anderson,GB68OXIO64236593958359,283.24,6155582454902,,7,2,2023
Becky Martinez,GB60AGQV76908952835753,87.11,6477531492958,,2,9,2023
Kaitlyn Nelson,GB81JGJD75383388268222,576.07,monthly,,27,7,2023
Mary Jimenez,GB66RRDX17972317348808,663.59,6825529802966,,5,10,2022
Danny Allen,GB39IFUB43512953336853,725.44,9614301000723,,16,11,2024
Dominique Marshall,GB78UCTF45962384298883,969.28,3252945597771,,14,3,2022
Michael Wall,GB60ZEIE73967031138386,756.18,6227168573625,,14,12,2020
Spencer Castillo,GB86AMMN80263630091981,561.4607100167568,5223047397093,,4,9,2021
Ellen Sims,GB37IDRE82348613432641,196.65,3035822902673,,28,10,2024
Lawrence Wang,GB22KTCE05008251693165,562.14,1237340396671,,2,10,2020
Lonnie Mcpherson,GB92XTIP82698714636319,91.73,7734473565669,,14,9,2021
Sandra Jones,GB53APWY08971359445580,207.53,pick lead,,21,3,2021
Patricia Mccoy,GB47ALZT74589291987461,558.55,8822201751909,,22,7,2024
Veronica Johnson,GB75QHRM19555407471649,626.52,9025902207693,,12,3,2023
Sarah Brewer,GB53DFTU79007467700715,255.95,9761282973956,,18,8,2020
Walter Reed,GB29PVPO66280754599224,409.53,2527625843679,,24,6,2024
Daniel Wilson,GB98MZAG72220100334969,894.05,4827176254879,,27,11,2023
Vanessa Smith,GB22ETLE91542472844848,381.63,2110708044973,,10,5,2020
Faith Obrien,GB29YOCO43914188822919,326.83,9543809662723,Language nature always.,3,3,2023
Stephen Walters,GB03SXNG35027994676653,697.36,5351295008420,Payment 5351295008420 for services,5,2,2020
Cynthia Edwards,GB60KJPR14654504821711,829.79,8694027919708,,7,4,2024
Gregory Golden,GB60OZUJ50628327603588,804.07,2719052959928,,21,8,2022
Mariah Collins,GB88CQRU32096795779108,351.39,8007301598566,Charge type him seven surface realize.,28,5,2022
Meghan Horn,GB09WUAB58379852621747,624.87,4566883031235,Nice person soldier talk research now in.,3,10,2023
Scott Carpenter,GB26TGQV59413320400242,918.44,8918675091426,,2,11,2020
Kyle Thompson,GB68LLNP54634095311058,166.77,9817408391033,,5,6,2020
Stephen Andrews,GB21XPCJ67614427766495,386.14,tough soldier college,,21,10,2024
Amber Hancock,GB46AWOL28548127215654,570.19,6761920106992,,11,3,2023
Christine Williams,GB79RQJS90564267833391,923.93,2902824052082,,2,6,2024
Kaitlyn Joseph,GB06REFZ32104839128318,56.96,8317190828232,Payment 8317190828232 for services,6,5,2020
Emma Miller,GB28SDCB47984245103997,616.41,2260578251978,,26,7,2020
Jamie Smith,GB27ALXI34434633833304,984.48,5035293475025,,4,3,2022
Susan Burns,GB84XWME09558885671655,125.11,476927590458,Sport though or much rest measure course.,22,3,2022
Anthony Reilly,GB83QQZN28619604456584,819.96,3129892673912,,13,12,2024
Elizabeth Hampton,GB79RMAR05734472207463,743.76,4626703534275,,23,4,2020
Warren Alvarado,GB67DXRI97552248779515,352.09,2805172691548,,21,11,2024
Julie James,GB45FPQR25885752537281,570.36,755448816118,Subscription 0755448816118,2,12,2022
Thomas Meyer,GB33VPGD17156931519438,994.6,2061085522441,,6,1,2024
Wayne Castro,GB93XNXO42545475001847,527.51,3479592543436,,9,7,2021
Tara Garza,GB95ETUD07368811828181,730.83,2156721195001,,25,6,2023
Melissa Tapia,GB37RWTF65929251089246,846.55,9804208165568,,4,9,2022
Stephen Mayer,GB90VTGD92626647540526,121.68,7992377870542,,24,8,2023
Joseph Mason,GB97EKGU37629313049777,711.79,5280154668447,,18,10,2024
Martha Graham,GB32HQWI05243891127138,623.37,2909302486421,,8,5,2023
Johnathan Bradley,GB71MTQY12199979183365,522.79,339462897638,Payment 0339462897638 for services,11,8,2023
Kimberly Cummings,GB77CGQP87233423903633,802.66,5962596205854,,13,2,2021
Maria Tate,GB63PMZI04856806944488,225.32,9031438360146,,15,8,2024
Theresa Jackson,GB72FTUL88781162940049,632.24,3743594031278,Cell meeting out glass day knowledge.,25,2,2024
Donna Mcclain,GB70GAOF45905646292976,778.27,64516929,,26,6,2022
Allison Huynh,GB88EVIE03640377831199,468.29,9592793547639,,1,12,2020
Stephen Mullins,GB50XTDD16577732687726,854.15,4663595895077,Payment 4663595895077 for services,8,12,2020
Rebecca Estrada,GB43PLEO09396934010262,998.0188709059672,9973460613565,,12,4,2022
Amber Olson,GB71FEKE15642470239203,979.59,8934208563659,,5,7,2022
Emily Patterson,GB02XMVY43399566112713,483.77,9553652414240,,9,12,2024
Katie Howard,GB21BQPO09710391307672,308.5,2277533297766,,25,11,2023
Isabella Berger,GB79OVHH21804362086196,836.24,9373557618921,,19,10,2021
Pamela Rogers,GB98KXHR02785352571043,42.38,1409612214178,,12,10,2024
Sally Daugherty,GB48WNBR12042768791790,254.23,25951424,,28,1,2021
Meghan Arias,GB36KJXW86512560320578,790.98,1253719121989,,11,5,2021
Victoria Arnold,GB57GGYD01684737609819,185.1,3325896373142,,17,10,2021
Sophia Turner,GB07ELJT75231695671741,238.91,3403294848070,,25,12,2020
Michael Romero,GB77FHID95147110666045,657.61,Teacher unit,,24,4,2023
Tonya Leach,GB85VTDT37641914764875,132.86,5213209517339,,25,3,2020
Maria Blackburn,GB92ODRG56518752198610,353.78,5544083221648,,20,4,2022
Amy Hicks,GB11NYZU81267002064906,978.47,816382217307,Worry first major against crime wide.,20,5,2022
Allison Nichols,GB97VCCJ87773532908800,317.63,1598900272119,,1,12,2022
Russell Herrera,GB78AGJJ26903621497839,715.23,7295311159971,,4,9,2024
Brandon Clark,GB67MMDK17300068158700,240.15,3029638761975,Payment 3029638761975 for services,11,5,2024
Stephen Hammond,GB92IQIK55303096873306,363.46,8164866300765,,5,3,2022
Larry Garcia,GB62IYCG87056574550226,437.72,Window network,,11,9,2021
Vincent Johnson,GB68XOGM18894621891636,451.68,4067001624716,,6,5,2020
Ryan Lee,GB85PLDJ03977623529075,670.1,4151114899137,Payment 4151114899137 for services,2,9,2020
Raymond Griffin,GB86ZKBH31474565218733,375.05,1544025536896,,22,11,2021
Megan Drake,GB79DEXV14824721818805,357.30942970361843,1042004230372,,22,12,2020
Steven Reynolds,GB32IWPB48121721597681,924.56,1492545908801,,16,9,2024
Brett Preston,GB42MRTZ69118655696975,241.59,8895439656162,,4,1,2023
Mary Hill,GB45WEWY50644807666671,447.76,6488338769235,,5,12,2023
Drew Aguilar,GB05DLHZ41356002753292,942.44,0676361837151,,10,7,2024
Samantha Johnson,GB46VMDL12271045334825,720.59,2441802348330,,7,12,2020
Donald Mejia,GB40ULWG56572111628329,401.03,8369614241288,,8,2,2022
Wendy Henson,GB17ZTCR46611694899943,443.71,20040581,Regular payment,4,12,2020
Nicole Chang,GB43KSUK95263989560861,978.85,3562388191901,,18,3,2021
James Gordon,GB57HGNB76192208532938,181.89,1473413750265,,18,3,2021
Brenda Owens,GB50EAOC55895543638478,19.72,6183489756348,,19,1,2024
Thomas Crosby,GB66SXYW33944862682559,977.09,2214559,Regular payment,4,3,2020
Tonya Dixon,GB03KHYW56566827710861,34.36,7033638908212,,14,10,2024
Emily Thomas,GB42MCVJ03219072658187,915.81,6175462352777,Throughout back staff certain.,10,10,2021
Richard Woods,GB23HHGV95773700628633,583.35,4266829260483,Inside class cover road.,1,12,2022
Justin Bennett,GB60HUPR59868559898210,681.8,1965147517752,,11,8,2022
Sharon Villegas,GB17FLKX50568975369333,308.59,4260609806403,Head especially property us now.,21,9,2020
Alan Romero,GB32SFDN37948452363703,537.65,2961006673675,,6,9,2023
Marvin Thomas,GB46DLVC27269199195919,453.18,3852457718246,,19,3,2022
Jasmine Perry,GB25ZTSP87599077281102,426.42,8742360693646,,5,4,2023
Tamara Hoffman,GB33DABO92144897346342,630.74,Reduce low,,26,4,2020
Timothy Hensley,GB25LBLY05275538533120,335.89,4086558795724,,13,5,2021
Lisa Ray,GB57PURW82499207690435,261.13,5603900645590,,28,6,2020
Eric Moran,GB86VYDU46583899963875,232.79,2010768332365,Payment 2010768332365 for services,26,11,2023
Keith Montgomery,GB94VPOK03655545308123,561.03,9467168912858,,2,4,2023
Mrs. Colleen Haynes,GB15DWTC36044086644022,817.16,9247639736332,,13,1,2022
Kimberly Jacobs,GB71OTXX99302950842644,725.75,0429615441587,,4,11,2020
Alec Baker,GB14SUER43353819776541,509.32,6540602656051,,8,2,2020
Christina Allen,GB89RRBZ93859619206440,450.95,4660746518397,,7,8,2020
Peter Cummings,GB72HACF06923461780676,59.37,0111749807703,,22,2,2021
Karen Lee,GB97PRRB65723127052691,432.5,6114272155673,,25,7,2022
George Barnett,GB41OHBB45070205387150,75.12,5572803984351,,18,2,2023
Michael Shannon,GB20ELVQ01597376192387,709.5560742259071,5030459246167,,1,8,2024
Melissa Blair,GB76YMTD98309654683070,809.78,4443715455448,,9,11,2021
Samantha Gray,GB44MEFJ27932763977355,671.78,6120857037159,Subscription 6120857037159,16,3,2022
Amy Campbell,GB76MIJQ36608424744293,183.16,340511102245,Payment 0340511102245 for services,5,6,2021
Valerie Madden,GB17VYBU47675144074140,93.59,4203669787190,,25,12,2020
Hannah Bowman,GB35RSMK33444109853490,381.59,8651045427370,,9,6,2024
Benjamin Gutierrez,GB79PREN40759440272128,873.44,5418128017360,,14,4,2021
Valerie Weber,GB33NOZD44198620175643,673.7,9363873069255,,13,4,2024
Jonathan Mcgrath,GB51DAZK28854460067202,111.25,0950804902058,,17,12,2023
Devin Smith,GB94IQTC43704278752147,245.49,3831708278043,,20,6,2020
Rachel Allison,GB67RLEW93499125508110,365.16,4316609080326,,2,12,2020
Michael Jacobson,GB08XBAG00279851013301,215.43,9831144697754,Subscription 9831144697754,4,11,2020
Dr. Michael Harvey,GB47LAMW95934840249477,767.54,1563189040971,,6,6,2020
Alexander Cooper,GB51YIPX21569181111561,562.97,6486542042366,,12,12,2020
Richard Rodriguez,GB27BYJB56874560776350,315.29,1146249705111,,6,2,2023
Beth Hamilton,GB95WMJD01624394456995,851.93,1639205066482,,1,3,2024
Miranda Pena,GB63XTQC39201654654113,884.69,0696387568631,,23,9,2022
Kimberly Huang,GB87PIVJ54931895160475,724.03,2037389510712,,21,3,2020
Kayla Rodriguez,GB75MCQP70291946910750,670.32,9602984662666,,21,3,2024
Nicole Wagner,GB85KPZL41728942083150,882.2,3418774978871,,19,8,2023
Kevin Mckee,GB66CYLF47404060240629,71.08,2069484383571,,23,1,2024
James Dawson,GB87XQOE11467799062638,370.18,5630473049821,,13,4,2024
Howard Smith,GB62AQIF45283519355204,234.22,1209922847529,Plan for political send weight for.,12,4,2022
Heather Valenzuela,GB95ILZT89038381442362,297.08,Wind daughter,,27,2,2024
Kristin Perry,GB35RIXU54412282221333,560.11,5661816951693,Past leg support voice.,21,7,2024
James Walker,GB67GVEY91156983762972,351.12,Generation bank,,2,8,2023
Daniel Ward,GB17UOGZ28385128531776,771.09,5323597012818,,25,8,2021
Heather Nash,GB13GBLT64451383420092,527.12,0323738831891,,11,5,2022
Carmen Olson,GB93MFBY76244730081408,828.3,6731060542196,,13,1,2020
Lisa Foster,GB98XQDW35170731307060,861.22,6953079920783,,2,6,2024
David Washington,GB41EEKS54138513489197,89.7,7914949323362,,10,12,2020
Carolyn Waller,GB39CNFX13741238718641,625.99,5194725697562,Payment 5194725697562 for services,2,12,2022
Alicia Reynolds,GB19TRYW21273702021445,161.76,5586798684745,,16,3,2023
Jason Nguyen,GB65HJAC83307146941683,617.8317967540981,5351149676539,Far appear have.,4,3,2022
Tina Graves,GB38QQYM87394316941987,665.8,5378537012021,Cause throughout her.,11,11,2021
Dana Maddox,GB91OQTH79557436805138,543.33,3308808932682,,17,1,2024
Kevin Murphy,GB17PNKH19659139542882,880.49,5339654565890,,26,11,2023
Madeline Martinez,GB49GYZC03950478354874,54.01,0832674799603,,17,6,2023
Ronald Miller,GB58FFKL92120092849252,748.77,2872417039502,,1,5,2021
Shelly Foster,GB35RZMQ01836331667696,542.22,4972751866562,,25,2,2021
Dr. Barry Solomon,GB69NGWA77107186622319,578.04,6851253831286,,15,9,2023
Andrew Camacho,GB38WMQN84518627438774,528.83,7626049956288,,3,5,2023
Jacob Sawyer,GB52BGGZ19967634177235,358.9343913019573,2956438335895,,13,11,2024
Molly Robertson,GB96CABF00990609068149,245.09,2022211405403,,2,2,2024
Justin Moyer,GB04BOAZ83651053702383,345.39,392078557563,Payment 0392078557563 for services,15,7,2021
Brandon Lewis,GB09ZUSM75288976074846,942.88,8398842511115,Payment 8398842511115 for services,13,6,2023
Christopher Benson,GB71ISJJ20857064544353,723.49,0494573247557,,2,4,2023
Cheryl Foster,GB54BVVM68579574379560,990.13,8669435554902,,3,9,2024
James Meyer,GB93ASTO67696918024948,892.0,8872492186966,,21,10,2023
Christina Aguilar,GB81SCYC18980413847702,811.34,3792240909300,,16,10,2020
Timothy Wood,GB34AOIJ47192608387693,104.64,4966988097370,,23,9,2024
Christina Murphy,GB84JFDO35292109903122,18.61,5345249580131,,9,10,2023
Kristen Roman,GB90WHNY52546915183020,72.3396510096549,9882070620767,,11,11,2022
Natalie Luna,GB39WSBS64237551925823,798.5264291917101,4061781473854,Subscription 4061781473854,10,6,2020
Peter Russell,GB93KPBI68543153187526,644.56,637127839574,Payment 0637127839574 for services,2,2,2022
Jimmy Long,GB32XTAW07202993784659,513.36,0179515670982,,13,12,2022
Jennifer Smith,GB33VJPB48794695925085,688.33,2240273498717,,17,9,2020
William Wise,GB98DUNN92870736296853,980.74,7228501234318,,16,7,2020
Adrian Murphy,GB18UPJO14063059967042,275.54,7180025485471,,2,5,2023
Diane Pierce,GB08CHUA94172628840703,531.66,1427944380217,,16,1,2020
Ann Johnson,GB12GTTI56728845972992,448.28,3457633736368,,18,11,2022
John Pena,GB70RPJH19811194105691,405.75,5808028562211,,12,2,2022
Michelle Mckenzie,GB83ESSD73305327018542,788.24,0684766998483,,6,1,2021
Lindsey Beck,GB26XDPE24197099397229,426.42,3143894007360,,9,12,2021
Kelly Lynch,GB66YLXU60619519080451,140.02,2453543818782,,20,8,2023
Miguel Brown,GB74ARHL65915129771425,456.85,5314294620956,,5,1,2023
Carol Phillips,GB12QZRG31701395070887,509.92,4644173293782,,27,4,2021
Jennifer Moore,GB85YBOX81984441130960,22.83,9415983907832,,10,1,2020
Darren Parsons,GB13LAWS40811755253185,829.54,9620904358437,,27,11,2020
Alicia Bryant,GB86ENZJ61364114445931,17.22,4138878838466,,27,3,2020
Sean Perez,GB51ZCNA26181670834202,278.5321721492214,9788037223500,,10,6,2020
Daniel Ryan,GB40ZEQX16551679107641,956.14,6553798914423,,17,5,2024
Jeanne Hamilton,GB33RJEX52265372104493,290.65,14626760,Regular payment,25,10,2020
Collin Lawson,GB41IAXY41257801391799,657.35,6290347272756,Subscription 6290347272756,21,8,2021
Erica Collins,GB56SIEM75819492843387,515.71,5219992369216,,7,11,2023
Lisa Simon,GB73URDD27694155179228,471.48,0910358338215,,19,12,2021
Frank Smith,GB11QYNB21570312956552,469.21,2365192761893,,13,6,2022
Patricia Snyder,GB34GZPI41064074784138,375.57,2403137591256,,10,4,2020
Jeremy Wilson,GB25MTHF31530686427554,407.3,8770779144343,,17,12,2021
Joseph Cherry,GB20BMIE89794673830271,64.84,2365221003918,,14,8,2021
Jennifer White,GB39VGPN62935612884689,901.5,3914387719653,,24,8,2022
Cheryl Weaver,GB06CXUL87915318233885,528.18,3495725896835,,22,1,2024
Caroline Campbell,GB53WSZF44384635017570,319.73,5915218081381,,22,8,2021
James Hughes,GB96CNQE02559060526851,494.17,91277084,Require benefit agree.,11,12,2021
Scott Garner,GB67FQRU83450717479182,570.9059902672356,2527730548957,,2,8,2021
Kimberly Torres,GB25IKIV76888069166910,769.33,0511069076689,,27,3,2023
Monique Gregory,GB86VBAU09691326743659,292.68,8906189557439,,12,9,2023
Scott Hood,GB55ACSD37847748299869,133.76,9377127739436,,6,11,2021
Bill Brown,GB37SBJR14047454435079,381.11,6415016254639,,3,11,2021
Miranda Smith,GB81ORBX98215522136017,871.99,8633442946098,,16,5,2021
John Davis,GB43MNQG86171894906487,799.98,7809117331174,,19,2,2020
Aaron Hart,GB41TMLH17907751419650,122.17,9604940820257,,16,8,2023
Lisa Santos,GB03HXTI11202317606117,105.2,1757870848933,,9,1,2023
Christina Dyer,GB32LGXD86141349013563,824.05,7020220644108,,9,3,2021
Shannon Miller,GB08MTEM88297636264153,82.63,4281208998221,Give see when care author choose.,2,1,2023
Hannah Kemp,GB39UOOE68278170714667,320.52,0651556864976,,23,5,2023
Aaron Murphy,GB18EGMP50297700844127,1739.7138606498809,4159547077313,,20,4,2022
Richard Rodriguez,GB91HQOR87255059148222,452.4776068626799,2712483529999,,9,9,2022
Martin Wilson,GB91AEED37452515212350,893.81,7851391520034,,14,7,2021
Debra Fuller,GB73KPDF40866698045381,936.18,33158983,,18,4,2022
Raymond James,GB16BQVE90776407619742,932.74,2282475684260,,3,6,2024
Tracey Copeland,GB83GDKS96861676871879,870.84,monthly,,7,7,2020
Kathryn Sellers,GB13XDWL24532840472737,326.66,5388102278189,,3,11,2021
Kevin Rojas,GB57GPXG98119320654134,146.46,7646338527289,,1,1,2024
Kimberly Smith,GB29IQEC30161569005216,512.09,9265713585119,,22,5,2022
Christian Oliver,GB84ZTQL56893131458264,432.74,9121865377050,,1,8,2024
Heidi Davis,GB67SNUE25492842967885,831.22,5609882969518,,13,8,2020
Jose Rojas,GB43ECXT67738509109317,965.51,0443726719021,,7,7,2023
Gerald Moore,GB45IETZ18088679429595,360.48,7038287433887,,17,3,2022
Melissa Richardson,GB78LLUR61791008766197,800.92,Election book,,27,8,2024
Lance Powell,GB53RTLR89614416183671,340.16,9055861504625,,8,1,2021
Eduardo Marquez,GB76IOVZ71948495341931,13.75,4423334366288,,11,7,2021
Justin Fleming,GB69COTD52978583035886,884.61,6491216372724,,18,3,2022
Carlos Wilson,GB19OSYI45905494913408,621.81,3056931352470,,12,1,2020
Aaron Turner,GB93QDRE98175362318554,103.54,7626966007483,,17,4,2024
Patricia Richmond,GB82AOGW33802415844698,240.88,6769762827167,Subscription 6769762827167,6,2,2021
Jeremy Bass,GB38YODR36509345253230,858.18,3466912661499,,12,5,2023
Jesus Brown,GB84BQWA28013598063366,238.01903584096107,1001429702819,,19,2,2023
Donna Simpson,GB02UMPK51131682272110,590.3823887951474,7235628665352,,3,4,2021
Melissa Hayes MD,GB68IKYY57569784748788,623.6,3952549051784,Payment 3952549051784 for services,23,5,2022
Samuel Cross,GB57FTAS54577911332760,868.65,7434601925593,,5,4,2024
David Page,GB20IPMF05466982498253,29.85,5299932468681,,18,3,2020
Jose Cameron,GB33IPMN32242290257153,952.73,4577064185463,,11,3,2023
Summer Byrd,GB34CTYM81534013608296,937.23,0686431075956,,23,4,2021
Abigail Brown,GB86DIXE62833016900543,381.788318487812,3611590092459,Those move high present in bit.,25,8,2023
Tyler Hayden,GB25AEVT14175256475383,926.71,0841042004775,,16,1,2022
Ryan Burton,GB88RNUO47141559059175,534.66,8903057458997,Payment 8903057458997 for services,5,6,2020
Sara Robinson,GB64UUOS21875769691818,1157.3069358799723,9483130117021,,27,1,2020
Leslie Mayer,GB38RUQM65841960366786,237.57,40172590,,21,8,2020
Jose Johnson,GB64SGNT14890987634502,768.22,3620599578475,,15,3,2024
Terry Estes,GB18TOFH69540876305705,964.96,5830915183063,,1,5,2021
Toni Short,GB77JJSG60490100799005,114.59,1210012268377,,20,2,2024
David Bell,GB77BMDM02074690128838,65.18,3001150772325,,1,10,2021
Donna Contreras,GB25KHJX01808628004107,306.52,8029582995599,Monthly subscription 8029582995599,5,1,2023
Trevor Robinson,GB43HDCY22023356253451,489.62,9558028637117,,5,1,2024
Brianna Manning,GB66PTWV10279341144085,375.12,5480693115932,,15,7,2023
Linda Flynn,GB71UFET41491815528935,971.41,1825361446736,,7,6,2024
Ryan Bowman,GB56EBYD06127138950354,261.45,8140652378811,,18,5,2024
Martin Lopez,GB92JPEL18685475735164,683.21,4844310875110,,24,9,2021
Rachel Bennett,GB17YPNG64896153541219,13.95,5952689781259,,21,12,2022
Cathy Jones,GB15YGOE69967895597099,221.73,9039179055055,,21,6,2024
Michele Cox,GB36IQNH24575448997514,990.32,1974942103763,Service payment 1974942103763,15,12,2020
Mike Hunter,GB74UQPB61836606799865,738.76,6542787180468,,2,6,2021
Lauren Koch,GB98BQOX45004251998245,978.3,4299367854692,,18,3,2022
Matthew Lowe,GB43MPRN22321641683342,198.91,53664426,,21,8,2022
Christopher Vance,GB12LJLX74750525252516,654.54,0905341447395,,7,4,2020
Matthew Maddox,GB67GECE96851355009226,585.59,6973399854711,,21,6,2024
Kyle Young,GB79VVJC87728018729651,770.21,1745417240838,,19,3,2021
Kristina Pitts,GB54BBXG00471202432212,281.4,7634001198546,,17,4,2022
Kenneth Warren,GB08YOCT43098807498152,384.24,8122932587892,Create attack until mind.,10,11,2023
Justin Tucker,GB52ZTHP88081941247014,131.46,7369881182322,,4,11,2021
Michael Ramirez,GB94WTAL29194458622828,369.12,9448369439856,,20,7,2023
Amanda Drake,GB75QWNO78771573449375,267.15,9400277839265,Show site so official meeting range.,5,5,2021
Sydney Bradford,GB31OGJO48660456281259,53.96,5164445365805,,14,9,2023
Lauren Soto,GB86XPPX54191551621134,260.52,8560098328902,,20,2,2024
Jeffrey Benson,GB70DFVY50629327298871,460.24,6523958494690,,22,3,2024
